FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb012562_n1_i_p1_04_f 	 012562 	 i 	 04 	 f 	    278.870 	     17.333 	     19.786 	   -163.639 
mir_2a_orb012570_n2_e_p1_04_f 	 012570 	 e 	 04 	 f 	    279.300 	      7.467 	     38.425 	    170.947 
mir_2a_orb012582_n1_i_p1_04_f 	 012582 	 i 	 04 	 f 	    279.890 	     17.017 	     28.200 	    -22.675 
mir_2a_orb012596_n2_e_p1_04_f 	 012596 	 e 	 04 	 f 	    280.620 	      7.033 	     29.573 	    138.077 
mir_2a_orb012607_n1_i_p1_04_f 	 012607 	 i 	 04 	 f 	    281.170 	     16.583 	     37.398 	    -26.704 
mir_2a_orb012616_n2_e_p1_04_f 	 012616 	 e 	 04 	 f 	    281.640 	      6.700 	     21.500 	    -80.917 
mir_2a_orb012628_n1_i_p1_04_f 	 012628 	 i 	 04 	 f 	    282.230 	     16.217 	     43.730 	     85.021 
mir_2a_orb012636_n2_e_p1_04_f 	 012636 	 e 	 04 	 f 	    282.650 	      6.400 	     12.613 	     60.248 
mir_2a_orb012648_n1_i_p1_04_f 	 012648 	 i 	 04 	 f 	    283.250 	     15.883 	     48.383 	   -133.942 
mir_2a_orb012656_n2_e_p1_04_f 	 012656 	 e 	 04 	 f 	    283.670 	      6.117 	      3.687 	   -158.222 
mir_2a_orb012667_n1_i_p1_04_f 	 012667 	 i 	 04 	 f 	    284.210 	     15.600 	     51.690 	     36.584 
mir_2a_orb012676_n2_e_p1_04_f 	 012676 	 e 	 04 	 f 	    284.680 	      5.850 	     -5.022 	    -16.423 
mir_2a_orb012691_n1_i_p1_04_f 	 012691 	 i 	 04 	 f 	    285.420 	     15.283 	     54.799 	     63.183 
mir_2a_orb012699_n2_e_p1_04_f 	 012699 	 e 	 04 	 f 	    285.840 	      5.550 	    -14.427 	     38.948 
mir_2a_orb012710_n1_i_p1_04_f 	 012710 	 i 	 04 	 f 	    286.380 	     15.067 	     56.625 	   -125.174 
mir_2a_orb012718_n2_e_p1_04_f 	 012718 	 e 	 04 	 f 	    286.800 	      5.317 	    -21.470 	   -149.919 
mir_2a_orb012729_n1_i_p1_04_f 	 012729 	 i 	 04 	 f 	    287.340 	     14.900 	     57.960 	     47.174 
mir_2a_orb012737_n2_e_p1_04_f 	 012737 	 e 	 04 	 f 	    287.750 	      5.083 	    -27.985 	     21.214 
mir_2a_orb012749_n1_i_p1_04_f 	 012749 	 i 	 04 	 f 	    288.340 	     14.750 	     59.037 	   -168.786 
mir_2a_orb012767_n1_i_p1_04_f 	 012767 	 i 	 04 	 f 	    289.240 	     14.633 	     59.817 	     33.218 
mir_2a_orb012776_n1_e_p1_04_f 	 012776 	 e 	 04 	 f 	    289.710 	      4.583 	    -39.515 	    -25.542 
mir_2a_orb012796_n1_i_p1_04_f 	 012796 	 i 	 04 	 f 	    290.690 	     14.517 	     60.749 	    -80.583 
